Algérie;ALGERIE;A3;2,5;nc;0; 9   ;2,21;10,0;;2;0,00;;A1;1;;;;;;;;
Arabie Saoudite;ARABIE SAOUD;A4;2;AA-;0; 10   ;4,75;10,0;;3;0,00;;A2;2;;3;2;2,5;;;;
Argentine;ARGENTINE;C;7;B-;20; 39   ;100,00;30,0;;4;0,00;;A3;3;;;;;;;;
Australie;AUSTRALIE;A2;0;AAA;0; 4   ;0,00;-;;5;0,00;;A4;4;;;;;;;;
Azerbaidjan;AZERBAIDJAN;C;5;nc;0; 17   ;21,66;30,0;;6;0,00;;B;5;;;;;;;;
Bahreïn;BAHREIN;A3;2;A;0; 8   ;1,41;NP;;7;0,00;;C;6;;;;;;;;
Bangladesh;BANGLADESH;C;6;;; 18   ;24,74;30,0;;8;1,41;;D;7;;;;;;;;
Bénin;BENIN;B;6;B;0; 16   ;18,74;30 (*);;9;3,00;;;;;;;;;;;
Bermudes;BERMUDES;0;-;AA;;#N/A;#N/A;-;;10;4,75;;;;;;;;;;;
Biélorussie;BIELORUSSIE;D;7;B+;0; 21   ;34,99;30,0;;11;6,66;;Dernière mise à jour;;;;;;;;;
Bolivie;BOLIVIE;D;7;B-;; 21   ;34,99;30,0;;12;8,75;;31/12/2005;;;;;;;;;
Brésil;BRESIL;A4;3;BBB-;0; 11   ;6,66;30,0;;13;10,99;;31/03/2006;;;;;;;;;
Bulgarie;BULGARIE;B;4;BBB;0; 14   ;13,41;10,0;;14;13,41;;31/05/2006;;;;;;;;;
Burkina Faso;BURKINA-FASO;C;7;B;0; 19   ;27,99;30(*);;15;15,99;;30/06/2006;;;;;;;;;
Cambodge;CAMBODGE;D;6;B+;; 20   ;31,40;-;;16;18,74;;30/09/2006;;;;;;;;;
Cameroun;CAMEROUN;C;6;B;0; 18   ;24,74;30 (*);;17;21,66;;31/10/2006;;;;;;;;;
Centrafrique;CENTRAFRIQUE;D;7;nc;0; 21   ;34,99;50 (*);;18;24,74;;31/12/2006;;;;;;;;;
Chili;CHILI;A2;2;A+;; 6   ;0,00;5,0;;19;27,99;;01/01/2007;;;;;;;;;31/03/2007
Chine;CHINE;A3;2;A+;0; 8   ;1,41;5,0;;20;31,40;;31/05/2007;;;;;;;;;
Colombie;COLOMBIE;A4;4;BB+;; 12   ;8,75;30,0;;21;34,99;;31/08/2007;;;;;;;;;
Congo Brazzaville;CONGO;C;7;nc;0; 19   ;27,99;50 (*);;22;45,00;;30/12/2007;;;;;;;;;
Congo Rép.;CONGO REP;D;7;nc;15; 36   ;99,40;50 (*);;;;;31/03/2008;;;;;;;;;
Corée du Sud;COREE DU SUD;A2;0;A;0; 4   ;0,00;5,0;;23;65,00;;30/06/2008;;;;;;;;;
Côte d’Ivoire;COTE D'IVOIR;D;7;nc;0; 21   ;34,99;30 (*);;24;77,00;;30/09/2008;;;;;;;;;
Croatie;CROATIE;A4;5;BBB;0; 13   ;10,99;10,0;;25;83,00;;31/12/2008;;;;;;;;;
Cuba;CUBA;D;7;nc;0; 21   ;34,99;50,0;;26;86,60;;31/03/2009;;;;;;;;;
Egypte;EGYPTE;B;4;BB+;0; 14   ;13,41;10,0;;27;90,00;;31/05/2009;;;;;;;;;
E.A.U.;EMIR.ARA.UNI;A2;2;nc;0; 6   ;0,00;5,0;;28;92,00;;;;;;;;;;;
Equateur;EQUATEUR;C;7;nc;20; 39   ;100,00;30,0;;29;94,00;;;;;;;;;;;
Estonie;ESTONIE;A4;3;A;0; 11   ;6,66;10,0;;30;95,50;;;;pondération Bâle II;;;;;;;
Gambie;GAMBIE;D;7;;0; 21   ;34,99;30,0;;31;96,50;;Conversion note S&P vers SAB;;Banques;Pays;entreprises;;;;;
Gabon;GABON;B;6;BB-;0; 16   ;18,74;30 (*);;32;97,30;;AAA;CATEG1;20;0;20;;;;;
Ghana;GHANA;C;6;B+;0; 18   ;24,74;30,0;;33;97,90;;AA+;CATEG1;20;0;20;;;;;
Guinée;GUINEE;D;7;nc;0; 21   ;34,99;30,0;;34;98,40;;AA;CATEG1;20;0;20;;;;;
Guinée Bissau;GUINEE-BISS.;D;7;nc;0; 21   ;34,99;30 (*);;35;99,20;;AA-;CATEG1;20;0;20;;;;;
Hong Kong;HONG-KONG;A2;1;nc;0; 5   ;0,00;5,0;;36;99,40;;A+;CATEG2;20;20;50;;;;;
Irak;IRAQ;D;7;nc;0; 21   ;34,99;50,0;;37;99,60;;A;CATEG2;20;20;50;;;;;
Iran;IRAN;D;6;nc;5; 25   ;83,00;10,0;;38;100,00;;A-;CATEG2;20;20;50;;;;;
Iles Caymans;ILES CAYMANS;A3;0;nc;; 6   ;0,00;-;;39;100,00;;BBB+;CATEG3;50;50;100;;;;;
Inde;INDE;A3;3;BBB-;0; 9   ;3,00;10,0;;40;100,00;;BBB;CATEG3;50;50;100;;;;;
Indonésie;INDONESIE;B;5;BB-;0; 15   ;15,99;30,0;;;;;BBB-;CATEG3;50;50;100;;;;;
Jordanie;JORDANIE;B;5;BB;0; 15   ;15,99;30,0;;;;;BB+;CATEG4;100;100;100;;;;;
Koweït;KOWEIT;A2;2;AA-;0; 6   ;0,00;5,0;;;;;BB;CATEG4;100;100;100;;;;;
Kazakhstan;KAZAKHSTAN;B;4;BBB-;0; 14   ;13,41;20,0;;;;;BB-;CATEG4;100;100;100;;;;;
Laos;LAOS;D;7;;; 21   ;34,99;30,0;;;;;B+;CATEG5;100;100;150;;;;;
Liban;LIBAN;C;7;B-;0; 19   ;27,99;30,0;;;;;B;CATEG5;100;100;150;;;;;
Libye;LIBYE;A4;4;nc;0; 12   ;8,75;30,0;;;;;B-;CATEG5;100;100;150;;;;;
Lettonie;LETTONIE;B;4;BB+;0; 14   ;13,41;10,0;;;;;CCC+;CATEG6;150;150;150;;;;;
Lituanie;LITUANIE;A4;3;BBB;0; 11   ;6,66;10,0;;;;;CCC;CATEG6;150;150;150;;;;;
Madagascar;MADAGASCAR;C;6;nc;0; 18   ;24,74;30,0;;;;;CCC-;CATEG6;150;150;150;;;;;
Mali;MALI;C;6;nc;0; 18   ;24,74;30 (*);;;;;D;CATEG7;150;150;150;;;;;
Maroc;MAROC;A4;3;BB+;0; 11   ;6,66;10,0;;;;;nc;laisser vide;100;100;100;;;;;
Mauritanie;MAURITANIE;C;7;nc;0; 19   ;27,99;30,0;;;;;;;;;;;;;;
Mexique;MEXIQUE;A4;2;nc;0; 10   ;4,75;10,0;;lien OCDE : ;http://www.oecd.org/document/49/0,2340,en_2649_201185_17627441_1_1_1_1,00.html.;;;;;;;;;;;
Malte;MALTE;A2;0;A;0; 4   ;0,00;-;;lien Coface : ;www.cofacerating.fr. ;;;;;;;;;;;
Malaisie;MALAISIE;A2;2;A-;0; 6   ;0,00;5,0;;lien S&P : ;http://www2.standardandpoors.com/portal/site/sp/en/eu/page.topic/ratings_sov/2,1,8,0,0,0,0,0,0,0,4,0,0,50,0,0.html;;;;;;;;;;;
Nepal;NEPAL;D;7;;; 21   ;34,99;30,0;;;;;;;;;;;;;;
Niger;NIGER;C;7;nc;0; 19   ;27,99;30 (*);;;;;;;;;;;;;;
Nigeria;NIGERIA;D;6;BB-;0; 20   ;31,40;50,0;;;;;;;;;;;;;;
Nouvelle Zelande;NOUVELLE ZELANDE;A2;0;AA+;; 4   ;0,00;-;;;;;;;;;;;;;;
Oman;OMAN;A3;2;A;0; 8   ;1,41;10,0;;;;;;;;;;;;;;
Ouganda;OUGANDA;C;6;B+;0; 18   ;24,74;30,0;;;;;;;;;;;;;;
Pakistan;PAKISTAN;D;7;CCC+;; 21   ;34,99;30,0;;;;;;;;;;;;;;
Panama;PANAMA;A4;3;BB+;0; 11   ;6,66;NP;;;;;;;;;;;;;;
Paraguay;PARAGUAY;C;5;B;; 17   ;21,66;30,0;;;;;;;;;;;;;;
Pérou;PEROU;B;3;BBB-;0; 13   ;10,99;20,0;;;;;;;;;;;;;;
Phillipines;PHILLIPINES;B;4;BB-;; 14   ;13,41;20,0;;;;;;;;;;;;;;
Qatar;QATAR;A2;2;AA-;0; 6   ;0,00;20,0;;;;;;;;;;;;;;
Russie;RUSSIE;C;3;BBB;0; 15   ;15,99;10,0;;;;;;;;;;;;;;
Roumanie;ROUMANIE;B;4;BB+;0; 14   ;13,41;10,0;;;;;;;;;;;;;;
Saint Vincent et Grenadines;SAINT VINCENT;A2;0;B-;0; 4   ;0,00;-;;;;;;;;;;;;;;
Sénégal;SENEGAL;B;6;B+;0; 16   ;18,74;30  (*);;;;;;;;;;;;;;
Serbie & Monténégro;SERBIE MONTENEGRO;C;7;BB-;0; 19   ;27,99;30,0;;;;;;;;;;;;;;
Singapour;SINGAPOUR;A2;0;AAA;0; 4   ;0,00;5,0;;;;;;;;;;;;;;
Slovénie ;SLOVENIE;A2;0;AA;0; 4   ;0,00;5,0;;;;;;;;;;;;;;
Soudan;SOUDAN;D;7;nc;0; 21   ;34,99;50,0;;;;;;;;;;;;;;
Sri lanka;SRI LANKA;C;6;B;0; 18   ;24,74;20,0;;;;;;;;;;;;;;
Syrie;SYRIE;C;6;nc;0; 18   ;24,74;30,0;;;;;;;;;;;;;;
Taiwan;TAIWAN;A2;0;AA-;; 4   ;0,00;5,0;;;;;;;;;;;;;;
Tchad;TCHAD;D;7;nc;0; 21   ;34,99;30 (*);;;;;;;;;;;;;;
Tchéque Rep.;TCHEQUE REP.;A2;0;A;0; 4   ;0,00;5,0;;;;;;;;;;;;;;
Togo;TOGO;C;7;nc;0; 19   ;27,99;30 (*);;;;;;;;;;;;;;
Tunisie;TUNISIE;A4;3;BBB;0; 11   ;6,66;10,0;;;;;;;;;;;;;;
Turquie;TURQUIE;B;4;BB-;0; 14   ;13,41;20,0;;;;;;;;;;;;;;
Ukraine;UKRAINE;D;7;CCC+;0; 21   ;34,99;30,0;;;;;;;;;;;;;;
Uruguay;URUGUAY;B;4;BB-;0; 14   ;13,41;30,0;;;;;;;;;;;;;;
Venezuela;VENEZUELA;C;6;BB-;0; 18   ;24,74;30,0;;;;;;;;;;;;;;
Vietnam;VIETNAM;B;5;BB;; 15   ;15,99;20,0;;;;;;;;;;;;;;
Yémen;YEMEN SUD;C;6;nc;0; 18   ;24,74;30,0;;;;;;;;;;;;;;