1-COFACE;A1;1
1-COFACE;A2;2
1-COFACE;A3;3
1-COFACE;A4;4
1-COFACE;B;5
1-COFACE;C;6
1-COFACE;D;7
2-OCDE;0;0
2-OCDE;1;1
2-OCDE;2;2
2-OCDE;3;3
2-OCDE;4;4
2-OCDE;5;5
2-OCDE;6;6
2-OCDE;7;7
3-S&P;AAA;CATEG1
3-S&P;AA+;CATEG1
3-S&P;AA;CATEG1
3-S&P;AA-;CATEG1
3-S&P;A+;CATEG2
3-S&P;A;CATEG2
3-S&P;A-;CATEG2
3-S&P;BBB+;CATEG3
3-S&P;BBB;CATEG3
3-S&P;BBB-;CATEG3
3-S&P;BB+;CATEG4
3-S&P;BB;CATEG4
3-S&P;BB-;CATEG4
3-S&P;B+;CATEG5
3-S&P;B;CATEG5
3-S&P;B-;CATEG5
3-S&P;CCC+;CATEG6
3-S&P;CCC;CATEG6
3-S&P;CCC-;CATEG6
3-S&P;D;CATEG7
3-S&P; ; 
4-BIA;2;0
4-BIA;3;0
4-BIA;4;0
4-BIA;5;0
4-BIA;6;0
4-BIA;7;0
4-BIA;8;1.41
4-BIA;9;3
4-BIA;10;4.75
4-BIA;11;6.66
4-BIA;12;8.75
4-BIA;13;10.99
4-BIA;14;13.41
4-BIA;15;15.99
4-BIA;16;18.74
4-BIA;17;21.66
4-BIA;18;24.74
4-BIA;19;27.99
4-BIA;20;31.40
4-BIA;21;34.99
4-BIA;22;45
4-BIA;23;65
4-BIA;24;77
4-BIA;25;83
4-BIA;26;86.6
4-BIA;27;90
4-BIA;28;92
4-BIA;29;94
4-BIA;30;95.50
4-BIA;31;96.50
4-BIA;32;97.30
4-BIA;33;97.90
4-BIA;34;98.40
4-BIA;35;99.20
4-BIA;36;99.40
4-BIA;37;99.60
4-BIA;38;100.00
4-BIA;39;100.00
4-BIA;40;100.00